건수,이름,홈페이지,홈페이지에서찾은 URL 고시 / 공고,리스트 URL
49,성북구청,www.sb.go.kr,,
45,연제구청,www.yeonje.go.kr,,
44,서구청,www.seogu.gwangju.kr,,
44,인천광역시서구청,www.seo.incheon.kr,,
38,대덕구청,www.daedeok.go.kr,,
34,김천시청,www.gimcheon.go.kr,,
31,마포구청,www.mapo.go.kr,,
28,서울특별시중구청,www.junggu.seoul.kr,,
25,금천구청,www.geumcheon.go.kr,,
23,경상북도경제진흥원,www.gepa.kr,,
22,서구청,www.seo.incheon.kr,,
21,동구청,www.icdonggu.go.kr,,
19,광주광역시남구청,www.namgu.gwangju.kr,,
19,중구청,www.junggu.seoul.kr,,
18,동대문구청,www.ddm.go.kr,,
18,안산시청,www2.ansan.go.kr,,
16,KDB산업은행,onlending.kdb.co.kr,,
15,담양군청,www.damyang.go.kr,,
15,밀양시청,www.miryang.go.kr,,
15,울주군청,www.ulju.ulsan.kr,,
15,전라남도중소기업일자리경제진흥원,www.jeonnam.go.kr,,
14,안산시청,www.ansan.go.kr,,
12,농림축산식품부,www.mafra.go.kr,,
12,충청북도청,www.chungbuk.go.kr,,
11,강서구청,www.gangseo.seoul.kr,,
11,산림청,www.forest.go.kr,,
11,상주시청,www.sangju.go.kr,,
11,세종시청,www.sejong.go.kr,,
